company_location,company_name,expected_salary,hiring_number,job_description,job_title,job_url,time_posted
Lagos,Ace Burns Realty,"#50,000 a month",10+,"As an intern at Ace Burns Realty, you'll be given a hands-on role in the operations of a emerging New York Real Estate firm. This experience will be crucial if you are considering a career in marketing or any form of communications. Also you have an opportunity to make a great deal of cash. Your role will be to provide administrative support to the executive Ace Burns in his daily duties with tasks including collaborating on research projects, client relations and real estate sales as well as general office tasks. In short you'll be run off your feet, so only apply if you like being busy. Lots of energy and a great attitude are a must. Fluency in English is essential. You should be interested in the Real Estate. You must be available for a minimum of three months. This internship is paid at 50,000 Naira it also includes travel and meal allowance.Qualifications:Ability to prioritize work assignmentsKnowledge of technology and passionate about Real Estate.High energy and ambitiousSelf-motivated with proactive attitudeStrong work ethicOutstanding written and verbal communication skillsTeam-oriented with strong sense of humorLocation:Ace Burns Realty,Kola Bus Stop, 777 Abeokuta Expy,Alimosho 102213, LagosJob Types: Full-time, Permanent, Internship, New gradPay: From ₦50,000.00 per monthAbility to commute/relocate:Lagos: Reliably commute or planning to relocate before starting work (Required)",Public Relations Intern,https://ng.indeed.com/job-description?cmp=Burns-Consulting-Inc.&t=Public+Relation+Intern&jk=fe8144d3f2315af2&vjs=3,Urgently hiring
Lagos,Aspire Consulting,"#200,000 a month",10+,"RESPONSIBILITIES:Updating company databases by inputting new employee contact information and employment details.Screening potential employees' resumes and application forms to identify suitable candidates to fill company job vacancies.Organizing interviews with shortlisted candidates.Posting job advertisements to job boards and social media platforms.Removing job advertisements from job boards and social media platforms once vacancies have been filled.Assisting the HR staff in gathering market salary information.Assisting in the planning of company events.Preparing and sending offer and rejection letters or emails to candidates.Coordinating new hire orientations.Responding to staff inquiries regarding HR policies, employee benefits, and other HR-related matters.REQUIREMENTSBachelor's degree in human resource management or studying toward a degree in human resource management or related field.Proven experience working in an office environment.Working knowledge of U.S. labor laws.Familiarity with HRIS (Human Resources Information System) software is advantageous.Proficiency in all Microsoft Office applications.The ability to work as part of a team.Strong analytical and problem-solving skills.Excellent administrative and organizational skills.Effective communication skills.Detail-oriented.Job Types: Full-time, PermanentSalary: From ₦200,000.00 per monthCOVID-19 considerations:All applicants must abide by the rules and regulations of covid 19 protocols.Ability to commute/relocate:Lagos: Reliably commute or planning to relocate before starting work (Required)Education:Higher National Diploma (Preferred)Experience:Administrative: 1 year (Preferred)Language:English (Preferred)License/Certification:Certification (Preferred)",HR INTERN,https://ng.indeed.com/job-description?cmp=Aspire-Consulting&t=Human+Resource+Intern&jk=cdabc665374ad713&vjs=3,Urgently hiring
Lagos,Nitax Technologies Limited,,,Responsibilities Assist the NXT technology team with day-to-day functions.Assist by conducting data research and maintaining documentation.Assist with troubleshooting issues.Ensure customer satisfaction.Assist the team in the process of taking the products to market.Provide support to other members of the team in order to achieve the Company’s goals.RequirementsDegree in a relevant field of study.Proven knowledge and experience with technical fundamentals.Good communication and analytical skills.Ability to function as an individual contributor and/or a member of a teamJob Type: Full-timeWork Remotely:Yes,Technology Intern,https://ng.indeed.com/job-description?cmp=Nitax-Technologies-Limited&t=Technology+Intern&jk=ce1d9bb071cf79fc&vjs=3,Posted 30+ days ago
Lagos,Bryme Consulting,"#70,000 a month",7,"We are looking to hire Motivated and Skilled Individuals whose main job duties involves working with other members of the team on design projects for print and online media, Human Resource and hiring processes, as well as Sales and Marketing.In addition to a strong portfolio of creative work, the position requires you to have strong communication and time management skills. Qualifications include work experience in the specific field for which you are seeking an internship, as well as familiarity with basic Knowledge of Market Strategy planning, Degree in any field of study, Ability to Research etc.Job Types: Full-time, Part-time, Permanent, Internship, New gradSalary: ₦70,000.00 per month",Creative Intern,https://ng.indeed.com/job-description?cmp=bryme-consulting&t=Creative+Intern&jk=a75a894ae0e874b1&vjs=3,Posted 29 days ago
Lagos,DiversiBoard,"#300,000 - #400,000 a month",10+,"Interested in a full-time, paid, remote 8-12 week internship? Please visit www.diversiboard.comStrong grades. Wide variety of academic subjects accepted - you may be a STEM student, a humanities student or a social science student. We focus on critical thinking skills. Openings in software engineering, computer science, engineering, UX/UI, finance, data science, research and marketingRecently graduated (graduated less than 5 years ago) or are going to be graduating shortlyDiversiBoard wants to hear from you. DiversiBoard works to place highly qualified individuals with companies looking for diverse talent at no cost to the candidates. Please visit www.diversiboard.com to apply.Work EnvironmentInterns will work remotely with teams located in the US (New York, Pittsburgh, San Francisco, Durham, Miami, Atlanta, or Austin), the UK (London or Cambridge), or Canada (Toronto, Waterloo, Vancouver, or Ottawa). Internships will take place over an 8 to 12 week period. Due to these being remote positions, selected candidates will need to maintain a highspeed internet connection for the duration of their internship.Hours may vary based on time differences with overseas teams. Please visit www.diversiboard.comJob Types: Full-time, Part-time, TemporaryContract length: 8 weeksPart-time hours: 40 per weekPay: ₦300,000.00 - ₦400,000.00 per monthCOVID-19 considerations:Positions are largely remote. If in person meetings are required, interns may be required to wear a mask",Intern,https://ng.indeed.com/viewjob?jk=4e07ae0fc8d6eb83&q=intern&l=lagos&from=web&advn=6208489150141368&adid=386239616&ad=-6NYlbfkN0BqahI-svxVI1aazBqZRvUKo2ED3MM6MmZeHgdEZ4fCoeVmc-oTkNrNI_zh85kuvdorpUxbBHerkkDiqyYseBYeTbkFe_uGqo4FyiiJKWcOC5W1uQ_h9FsKMjnTBYeYK_I09AOrmq-jEL9_QnX8pz7gmOf7LqK2gzLK4my1AYwofnLxXmjRt1HI_4k04pmO1qKI6mz1cNijpCPQePRZ4HQtb5CcNSVY_vPYm40A4-LtFY8XchUjv9QeofeozbZqi6dURH3Le99FMPHB7x1-wXw5CuqlywNMJQj1Gt1sB8rnWw1XCLJI1rhWyqs4nqg4_DMU-cp3ziJRn4aOZ0axWTeFKlwztUY7to5Tk6xHe4kvgIpMFtId5mTC&pub=4a1b367933fd867b19b072952f68dceb&vjs=3,Posted 30+ days ago
Lagos,DiversiBoard,"#300,000 - #400,000 a month",10+,"Interested in a full-time, paid, remote 8-12 week internship? Please visit www.diversiboard.comStrong grades. Wide variety of academic subjects accepted - you may be a STEM student, a humanities student or a social science student. We focus on critical thinking skills. Openings in software engineering, computer science, engineering, UX/UI, finance, data science, research and marketingRecently graduated (graduated less than 5 years ago) or are going to be graduating shortlyDiversiBoard wants to hear from you. DiversiBoard works to place highly qualified individuals with companies looking for diverse talent at no cost to the candidates. Please visit www.diversiboard.com to apply.Work EnvironmentInterns will work remotely with teams located in the US (New York, Pittsburgh, San Francisco, Durham, Miami, Atlanta, or Austin), the UK (London or Cambridge), or Canada (Toronto, Waterloo, Vancouver, or Ottawa). Internships will take place over an 8 to 12 week period. Due to these being remote positions, selected candidates will need to maintain a highspeed internet connection for the duration of their internship.Hours may vary based on time differences with overseas teams. Please visit www.diversiboard.comJob Types: Full-time, Part-time, TemporaryContract length: 8 weeksPart-time hours: 40 per weekPay: ₦300,000.00 - ₦400,000.00 per monthCOVID-19 considerations:Positions are largely remote. If in person meetings are required, interns may be required to wear a mask",Intern,https://ng.indeed.com/viewjob?jk=4e07ae0fc8d6eb83&q=intern&l=lagos&from=web&advn=6208489150141368&adid=386239616&ad=-6NYlbfkN0BqahI-svxVI1aazBqZRvUKo2ED3MM6MmZeHgdEZ4fCoeVmc-oTkNrNI_zh85kuvdorpUxbBHerkkDiqyYseBYeTbkFe_uGqo4FyiiJKWcOC5W1uQ_h9FsKMjnTBYeYK_I09AOrmq-jEL9_QnX8pz7gmOf7LqK2gzIfJ8SELYI-qyFbnWdftsuLq6YQE4mLrRGPARbRhj8SATqCsUDJ6PqVrdIaL-LNI5dsgfG3cF9VDZGpFxbmQSXb9zPCZE84k2h3aOyfX_GiUPOMLmiyfUcNq1FuYyocQb-g5BP-4ARkgVc72Z2e7DzlNfrjo2odKW-sI67DKlo8CNX8l-ybwwMXqOPowprW0pJN7RHBHcANBG0tRgdmsUYq&pub=4a1b367933fd867b19b072952f68dceb&vjs=3,Posted 30+ days ago
Lagos,,,,"March 11, 2022
Nigeria
Pricelist Coding Intern
Location(s):
Lagos (Nigeria)
Do you want to contribute to getting millions of Nigerians access to affordable quality healthcare? Do you want to work in a fast-paced, international environment where you can truly make a difference? Join our highly skilled team of 190 colleagues at CarePay and have impact from day one!
CarePay is looking to hire a Pricelist coding intern for our CarePay Nigeria team to be based in Lagos, on a 3 months contract.
If you are interested, please apply via ngjobs@carepay.com
‍
About CarePay
CarePay is a data-driven company operating in Kenya, Nigeria, Tanzania and with headquarters located in Amsterdam. CarePay has developed a mobile health benefit management platform, branded M-TIBA in Kenya, that has the potential to fundamentally change healthcare. The platform digitally connects patients, health payers (e.g., insurers, governments) and healthcare providers to one platform. We believe that through mobile technology everyone can be connected to health insurance against very low marginal costs. Our platform enables people to access health insurance schemes and pay for healthcare efficiently and transparently. Using our digital platform leads to reduced costs, enhances transparency, efficiency and accountability for healthcare providers, payers and consumers.
So far, we have enrolled over 4.7 million people and have connected more than 3,500 healthcare providers across Kenya and Nigeria. Since the start, CarePay has gained international traction. In 2017, CarePay won the FT/IFC Transformational Business Award and in 2018 CarePay was recognized as Technology Pioneer by the World Economic Forum. In 2019, CarePay won the SwissRe Entrepreneurs for Resilience Award. In 2020 CarePay was selected as one of the pioneering use cases on Europe’s GAIA-X cloud platform and has been listed together with Safaricom in Fortune’s Change the World top 10, alongside companies like Zoom and Alibaba.
Main purpose of the job
As a Pricelist coding intern in our Nigeria team, your role will be to manage the medical codes and pricelist functionality within the Nigeria operations portal. This will ensure efficient and effective pricelist management, medical coding management and aligning medical codes for new schemes with the CarePay platform.
‍
Duties &amp; responsibilities
‍
Medical Coding:
Ensure accurate and complete medical coding continues to be maintained within CarePay systems.
Set up a system to ensure codes and prices for any new drugs items or medical procedures and service are added onto CarePay systems as soon as they get available within the market.
Review coding challenges and discuss these regularly with supervisor as well as with Coding Committee.
Continually enhance coding structures in accordance with, management and Operational needs of CarePay.
Work closely with the Healthcare Providers Manager, management and other staff to provide medical support and general medical expertise as required.
Participate in internal and external workgroups to develop any additional codes or price benchmarking as required to support projects.
Accurately document coding procedures, claims guidelines and any audit data updating management as required.
Ensure you manage the confidentiality all clients and customer data on the platform.
Pricelist Management:
Building provider pricelists for providers under the Carepay Healthcare Discount Card product and any other providers as required.
Allocation and rating of provider prices as compared to expected market prices per category of providers.
Approve and oversee provider pricelists and resolve any issues related to these pricelists within 48 hours.
Ensure the default reference prices on all pricelists are updated continually.
Continually, appropriately and in a timely manner raise any pricelist issue you note within the provider network.
Required skills:
Minimum 1-2 years’ work experience in health care or health related field/position
Bachelor's degree in medical related qualifications i.e. Pharmacy, Nursing, or Clinical Officer
A solid understanding of current diseases patterns and treatment protocols
Exhibit sound knowledge of medical terminology
Strong understanding of private and public healthcare delivery systems
Have commercial acumen and good data analysis skills
Knowledge of drugs/pharmacy with understanding of medical services will will be an added advantage
General understanding of the interrelations between codes, claims processing and how they relate to medical and insurance payment policies and benefit management
An understanding of confidentiality and data protection issues
‍
Bonus points if you have:
Previous medical coding understanding and experience
You are passionate about global health and tech
Previous experience in the healthcare or health insurance industry
‍What we offer:
The opportunity to work on projects with high social impact with a fun and motivated team
To be part of a fast-growing scale-up with plenty of growth opportunities
Based in Lagos with the possibility of travel within Nigeria
Competitive salary and flexible hours",Pricelist Coding Intern,https://ng.indeed.com/viewjob?jk=384fb471857d1eef&from=serp&vjs=3,Posted 30+ days ago
Lagos,Field Intelligence,,,"Shelf Life is changing how the pharmaceutical industry works in Africa and improving access to quality medicine at scale. As a Supply Chain Management Intern in Nigeria, you'll join a focused team of experts to learn and directly support planning, implementation, and analysis of a unique, high-tech distribution operation.

Through the 6-month internship you will develop key skills and experience with,

Supply-chain management fundamentals and best practices
Data management, analysis, and interpretation
Performance management
Software product development

Opportunity for full-time employment following the internship is possible base on Performance!

Responsibilities
Warehouse Operations: Assisting procurement, pick and pack, quality assurance, and dispatch.
Planning: Support data-driven routing, scheduling, and monitoring of fulfilment activities across Shelf Life's national network.
Training: Assist in the training for delivery personnel and new staff.
Onboarding: Work with the Customer Experience team to onboard new clients into the service.
Data Management: Support program data warehousing, cleaning, and maintenance critical to the Shelf Life operations
Customer Success: Support developing messages for clients and communicating clearly and effectively.
Feedback: Provide feedback to Field's software development, design, and growth teams.
Requirements
B.Sc or HND in any Discipline, preferably Business Administrations, Statistics, Mathematics, Procurement &amp; Supply Chain Planning
Excellent writing, verbal &amp; communications skillsData entry skills
Excellent quantitative skills
Care for customer service
Proficiency in using MS Office / Google Docs
Flexible, well organised &amp; experience working with a team
Attention to detail

Bonus: Proficiency with SQL for data querying

If this sounds like you, we'd love to meet you.

If this sounds like a place you'd like to come to work, we humbly suggest we could do some great things together. Please get in touch with a CV or portfolio.",Supply Chain Internship - Lagos,https://ng.indeed.com/viewjob?jk=68360979ac265abc&from=serp&vjs=3,Posted 21 days ago
Lagos,ELC Ltd,"#50,000 - #70,000 a month",1,"Developing and sustaining solid relationships with company stakeholders and customers.Analyzing customer feedback data to determine whether customers are satisfied with company products and services.Recruiting, training, and guiding business development staff.Providing insight into product development and competitive positioning.Analyzing financial data and developing effective strategies to reduce business costs and increase company profits.Conducting market research to identify new business opportunities.Collaborating with company executives to determine the most viable, cost-effective approach to pursue new business opportunities.Meeting with potential investors to present company offerings and negotiate business deals.Business Development Officer Requirements:HND/OND in business management or administration, finance, accounting, marketing, or related field.Proven experience working as a business development officer or similar role.Proficiency in all Microsoft Office applications.The ability to travel as needed.The ability to work in a fast-paced environment.Excellent analytical, problem-solving and management skills.Exceptional negotiation and decision-making skills.Effective communication skills.Strong business acumen.Detail-oriented.Job Types: Full-time, PermanentSalary: ₦50,000.00 - ₦70,000.00 per monthAbility to commute/relocate:Lagos: Reliably commute or planning to relocate before starting work (Preferred)",Business Development Officer(Intern),https://ng.indeed.com/job-description?cmp=ELC-LTD&t=Business+Development+Officer&jk=dfc79f5368c6270f&vjs=3,Urgently hiring
Lagos,Workforce,,,"Workforce
Workforce
world health organization internship programme
Workforce
Lagos
Lagos
experience
4 years
Health

permanent
full time
salary
not specified
published
more than 60 days ago
The World Health Organization WHO as the leader in global public health issues is committed to building future leaders in public health. WHOs Internship Programme offers a wide range of opportunities for students to gain insight in the technical and administrative programmes of WHO.

The duration of WHO internships is between six to twenty four weeks. WHO internships are not paid and all costs of travel and accommodation are the responsibility of the intern candidate.

Interns

Job TypeFull Time
Qualification
Location Lagos

Job FieldGraduate Jobs / Internships NGO/Non-Profit
Who are we looking for?

You are at least twenty years of age on the date of application

you are enrolled in a course of study at a university or equivalent institution leading to a formal qualification graduate or postgraduate applicants who have already graduated may also qualify for consideration provided that they start the internship within six months after completion of their formal qualification

you have completed three years of full-time studies at a university or equivalent institution prior to commencing bachelors level or equivalent the assignment

you possess a first degree in a public health, medical or social field related to the technical work of WHO or a degree in a management-related or administrative field

you are not related to a WHO staff member e.g., son/daughter, brother/sister, or mother/father

you are fluent at least in one of the working language of the office of assignment and

you have not previously participated in WHO’s Internship Programme.",World Health Organization Internship Programme,https://ng.indeed.com/viewjob?jk=8f720c8b488d95af&from=serp&vjs=3,Posted 30+ days ago
Lagos,7RiverLabs,,,"7RiverLabs is removing the barriers to advanced diagnostics in Africa so everyone can live longer healthier lives. Our innovative techniques and operational processes are spearheaded by experts, so healthcare providers can rest, assured of timely and uncompromised patient care.
We are recruiting to fill the position below:

Job Position: Logistics Intern
Job Location: Lekki, Lagos
Employment Type: Contract
Job Description
As a Logistics intern, you will be supporting the end-to-end logistics operations for human sample deliveries including cold chain operations.
You will interface with logistics partners, and manage stakeholders by communicating key performance indices and reports to drive the highly efficient execution of our business model.
This is a 6 months Internship employment
.

Essential Functions
Support logistical plans for current operations; COVID and 7RL
Manage in-house logistics riders; In-House Dedicated Rider Roll Call / Designated location planning on a daily basis depending on different pickup conditions/schedules for the COVID Project
Responsible for 3PL compliance and overall performance
Plan and track the shipment after dispatch
Keep logs of logistics requests and executed orders etc.
Collect feedback from all stakeholders and make processes more scalable.
Execute standard operating methods to manage logistics operations efficiently.
Resolve any arising problems or complaints regarding logistics
Provide periodic updates to management on projects and performance.

Qualifications
Education &amp; Certifications:
BSc / HND in Health related or Logistics field
Experience in the Logistics would be an added advantage

Experience:
2 years of working experience in facility management.

Requirements, Knowledge, Skills &amp; Abilities:
High attention to detail and efficient problem-solving skills
Excellent communication and interpersonal skills, including the ability to speak with all levels of employees, guests, vendors, and team members
Good Reporting skills
Proficient in MS Office, particularly Excel and Powerpoint
Outstanding organizational skills.

Salary
N100,000 monthly.

Equal Opportunity Employer
7RL celebrates diversity and is proud to be an inclusive employer. We do not discriminate based upon race, religion, color, national origin, ancestry, sex, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity or gender expression, age, marital status, genetic information, status as a protected veteran, status as an individual with a mental or physical disability, or any other applicable legally protected status or characteristics.",Logistics Intern Recruitment at 7RiverLabs,https://ng.indeed.com/viewjob?jk=c82f4096c386002b&from=serp&vjs=3,Posted 7 days ago
Lekki,AFMrecruit,,,"Description:
Are you looking to become a software developer. We are looking to train three software developers to work with us. The candidate should have a first class in any discipline and must be interested in software development.

What do we offer
Afmrecruit offers comprehensive benefits including: Competitive salaries, Paid time off: holidays, vacation and personal leave, Insurance: health, dental, and life, Educational assistance",INTERN,https://ng.indeed.com/viewjob?jk=5db1c4bf1982851e&from=serp&vjs=3,Posted 30+ days ago
Lagos,Gratitude Inc.,"#50,000 a month",4,"IFS Group, a Cleaning and Facility Management company, is currently recruiting suitable candidates to fill the position below:Job Title: Graduate Facility Management InternJob Location: Agbara, Ota-OgunEmployment Type: InternshipJob DescriptionWe are seeking a highly capable Facility Management Interns in Mechanical Engineering, Electrical Engineering; Estate Management discipline is required for a Graduate Facility Intern role.Applicant is required to participate in a 6months Internship in a Facility Management CompanyRequirements: Qualified candidates should possess a minimum of 1 year experience and be ready to work at multiple locations during internship.SalaryN50,000 Monthly.Application Closing Date7th May, 2022.How to ApplyInterested and qualified candidates should send their CV toJob Type: Full-timeSalary: ₦50,000.00 per month",GRADUATE FACILITY MANAGEMENT INTERN,https://ng.indeed.com/job-description?cmp=Gratitude-Inc.&t=Graduate+Facility+Management+Intern&jk=2b923ecc9d255e5d&vjs=3,Posted 13 days ago
