Name,Address,business,phone number,website redirect url,category,location
Loans Till Payday,"170 Memorial Dr,Brantford,ON,L3V 7M9",Loans,519-758-8470,/gourl/5895bc00cb35a1ee3333ba09b7cbcb8b20bde83d?redirect=http%3A%2F%2Fltpfinancial.com%2F,Crédit,Paris ON
Tandia Financial Credit Union,"25-27 King George Rd,Brantford,ON,N3R 5J8",Banks,1-800-598-2891,/gourl/d997e9b9957b762c9c6ffab04ecf446ee2dcde47?redirect=http%3A%2F%2Fwww.teacherscu.on.ca%2F,Crédit,Paris ON
Teachers Credit Union,"25-27 King George Rd,Brantford,ON,N3R 5J8",Credit Unions,519-752-2553,/gourl/a5c4ec214bcba890b05a1b41a72db5ff73331105?redirect=http%3A%2F%2Fwww.teacherscreditunion.com%2F,Crédit,Paris ON
Tandia Financial Credit Union Ltd,"25 King George Rd,Brantford,ON,N3R 5J8",Credit Unions,519-752-1487,/gourl/ef6892cf9e0df594d1b1bc9726af056bf11f25fb?redirect=http%3A%2F%2Fteacherscreditunion.com%2F,Crédit,Paris ON
Brant Loans 'Til Payday Inc,"20 King George Rd,Brantford,ON,N3R 5J9","Loans,Payday Loans & Cash Advances",519-753-4242,/gourl/1bb7223ed0f217a973b83cfbf84a6fbc9050c910?redirect=https%3A%2F%2Fwww.facebook.com%2Fpages%2FBrant-Loans-Til-Payday%2F1597360610587471,Crédit,Paris ON
Loans Til Pay,"20 King George Rd,Brantford,ON,N3R 5J9",Loans,519-753-4242,,Crédit,Paris ON
"Hoyes, Michalos & Associates Inc. – Consumer Proposal & Licensed Insolvency Trustee","218 Brant Ave,Brantford,ON,N3T 3H9","Credit & Debt Counselling,Licensed Insolvency Trustees","519-770-4440,1-866-747-0660",/gourl/12e2369b607d22b06166f4990c8ef25c8d7895b4?redirect=http%3A%2F%2Fwww.hoyes.com%2F,Crédit,Paris ON
First Ontario Credit Union,"84 Charing Cross St,Brantford,ON,N3R 2H6","Financial Planning Consultants,Banks","519-756-1070,1-800-616-8878",/gourl/9cd36cc8dd7dee629b6054cabb274964104c03de?redirect=https%3A%2F%2Fwww.firstontariocu.com%2F,Crédit,Paris ON
First Ontario Credit Union,"84 Charing Cross St,Brantford,ON,N3R 2H6",Credit Unions,519-756-8894,/gourl/4c24d1ea3df0a781e50d11160abb63f2dcb0aee8?redirect=http%3A%2F%2Frcu.com%2F,Crédit,Paris ON
Zachary Faubert Tetreault,"44B Stanley St,Ayr,ON,N0B 1E0",Loans,519-394-9000,,Crédit,Paris ON
Cash 4 You,"63C Brant Ave,Brantford,ON,N3T 3H2",Loans,1-888-426-0160,/gourl/502100112791b1f8b6a90c13384492e40dc1161b?redirect=http%3A%2F%2Fwww.cash4you.ca%2F,Crédit,Paris ON
BDO Canada Limited,"505 Park Rd N,Brantford,ON,N3R 7K8",Credit & Debt Counselling,519-751-0499,/gourl/1c70b91512643f8014f5674bb70ad3e06fbcaeb5?redirect=https%3A%2F%2Fdebtsolutions-brantford.ca%2F,Crédit,Paris ON
Community First,"403 Fairview Dr,Brantford,ON,N3R 6T2",Credit Unions,519-759-2282,,Crédit,Paris ON
Family Counselling Centre Of Brant Inc,"54 Brant Av,Brantford,ON,N3T 3G7","Credit & Debt Counselling,Social & Human Service Organizations",519-753-4173,/gourl/41fc2958a6a8b4c4e98c610b2234d9ae321dad47?redirect=http%3A%2F%2Fwww.familycounsellingcentrebrant.com%2F,Crédit,Paris ON
"Sherry Andrade, Mortgage Agent","103-325 West St, Unit,Brantford,ON,N3R 3V6",Loans,519-802-2512,,Crédit,Paris ON
Enterprise Brant,"10-330 West St,Brantford,ON,N3R 7V5","Loans,Business Management Consultants",519-752-4636,/gourl/50e5f82960e9f725a7be4e838d3f63d23c7bf813?redirect=http%3A%2F%2Fenterprisebrant.com%2F,Crédit,Paris ON
Cash Town Financial Inc,"566 West,Brantford,ON,N3R 6M7",Loans,519-770-4077,/gourl/e304ff4c32f4dc9a20c74225c0c353004effe37f?redirect=http%3A%2F%2Fcashtown.ca%2F,Crédit,Paris ON
Farm Credit Canada (FCC),"514 Princess,Brantford,ON",Federal Government,1-800-387-3232,/gourl/d8b3b1735e96fe59eea3711c976fee8455a193b1?redirect=https%3A%2F%2Ffac-fcc.ca%2F,Crédit,Paris ON
Brant Loans 'Til Payday Inc,"151 Darling St,Brantford,ON,N3S 3W5","Loans,Payday Loans & Cash Advances",519-753-1188,/gourl/077c419187ceb5dc4c82daeb2e98fe5d8379b60f?redirect=https%3A%2F%2Fwww.facebook.com%2Fpages%2FBrant-Loans-Til-Payday%2F219040468461299,Crédit,Paris ON
Cash Money,"196 Dalhousie St,Brantford,ON,N3S 3T7","Loans,Payday Loans & Cash Advances",1-877-519-7045,/gourl/d17c705bb8c4a73379d141e825bd44eda285efa9?redirect=https%3A%2F%2Fwww.cashmoney.ca%2Ffind-a-store%2Fontario%2Fbrantford%2Fdalhousie-and-clarence,Crédit,Paris ON
easyfinancial Services,"50 Market Street S,Brantford,ON,N3S 2E3","Loans,Payday Loans & Cash Advances","226-400-5856,1-888-502-3279",/gourl/4f104e7d1f749fb51b00965390b73c83092a1804?redirect=https%3A%2F%2Fwww.easyfinancial.com%2Fontario%3Futm_source%3Dyext%26utm_medium%3Dreferral%26utm_campaign%3Dbusinessdirectory%26y_source%3D1_MjAzMzA0ODItNjAxLWxvY2F0aW9uLndlYnNpdGU%253D,Crédit,Paris ON
Kingston Date & Credit,"1100 Clarence St S,Brantford,ON,N3S 7N8",,519-753-0066,,Crédit,Paris ON
Downtown Pawnbrokers,"342 Colborne St,Brantford,ON,N3S 3M9","Loans,Pawnbrokers",519-752-3434,/gourl/345f246be94cf6106be04fdb37d6ae6a26207e1b?redirect=http%3A%2F%2Fwww.shopbrantford.com%2Fdowntownpawn,Crédit,Paris ON
K & M Credit Course and Services,"204-174 Stanley St,Brantford,ON,N3S 7S3",Credit & Debt Counselling,226-381-0303,,Crédit,Paris ON
Harris & Partners Inc,"110-446 Grey St,Brantford,ON,N3S 7L6","Credit & Debt Counselling,Licensed Insolvency Trustees",519-756-8190,/gourl/7ab8f957868f72cdbd231a8df3422f50274017cd?redirect=http%3A%2F%2Fwww.bankruptcytoronto.com%2F,Crédit,Paris ON
Grand & Toy Don Mills Centre Toronto Branch Office & National Distributi on Centre,"200 Aviva Park Dr,Woodbridge,ON,L4L 9C7",Office Supplies,416-401-6300,,Grande distribution,Paris ON
Vision Travel,"61 Grand River St N,Paris,ON,N3L 2M3",Travel Agencies,"519-442-1990,1-800-661-4207",/gourl/75ebf75a4770336c69683cf63c7edd60436d97e8?redirect=http%3A%2F%2Fwww.visiontravel.ca%2Fvacations,Tourisme,Paris ON
County Of Brant,"15 Curtis Ave N,Paris,ON,N3L 3W1",Tourist Information Centres,519-442-1818,/gourl/cb05034a6f8efa260ba2c44a788655b4ec146d2a?redirect=http%3A%2F%2Fwww.brant.ca%2F,Tourisme,Paris ON
CAA Travel,"300 King George Rd,Brantford,ON,N3R 5L8","Travel Agencies,Roadside Assistance","519-756-6321,1-866-641-1313",/gourl/df22551a5125c8b9a09161e701cd2c04217edfb1?redirect=https%3A%2F%2Fwww.caasco.com%2Fstore-locator%2FBrantford%2FCAA-Brantford,Tourisme,Paris ON
Princeton & District Museum,"25 Main,Princeton,ON,N0J 1V0","Tourist Attractions,Museums",519-458-8392,/gourl/6a7aab6bdb28b3eda9fc38a84e7d0f3d217225c6?redirect=http%3A%2F%2Fhosted.ocl.net%2Fprojects%2Fprincetonm%2F,Tourisme,Paris ON
Lynne Gibson-Brantford Cruiseshipcenters,"21 Latzer Cres,Brantford,ON,N3V 1E1","Sightseeing Guides & Tours,Helicopter & Airplane Tours",226-208-1875,,Tourisme,Paris ON
Marlin Travel,"300 King George Rd,Brantford,ON,N3R 5L7",Travel Agencies,519-751-9997,/gourl/bd86bcd88c8d9eafa1a69c44fa20c08e9cfaf56e?redirect=http%3A%2F%2Fwww.marlintravel.ca%2F,Tourisme,Paris ON
Expedia Cruiseship,"265 King George Rd,Brantford,ON,N3R 6Y1","Travel Agencies,Cruises","519-756-9711,1-800-742-4054",/gourl/ca950626a105fc56fc03688787b29156cda07be1?redirect=http%3A%2F%2Fwww.cruiseshipcenters.com%2Fbrantford,Tourisme,Paris ON
Best Beach Destinations,"101-23 Waverly St,Brantford,ON,N3R 2K2",Travel Agencies,519-428-6039,,Tourisme,Paris ON
Pauwels Travel Bureau,"59 Dufferin Ave,Brantford,ON,N3T 4P6",Travel Agencies,519-753-2695,/gourl/6a6fa5077418efd7d514cdc1da09a18ae22024c2?redirect=http%3A%2F%2Fwww.pauwelstravel.com%2F,Tourisme,Paris ON
Pauwels Travel And Tours,"55 Dufferin Ave,Brantford,ON,N3T 4P6",Travel Agencies,1-800-380-3974,,Tourisme,Paris ON
Marlin Travel,"155 Brant Ave,Brantford,ON,N3T 3H6",Travel Agencies,519-759-1990,/gourl/d7b1c1c531d67c2ece03c7cab80eb5307f7bf6eb?redirect=http%3A%2F%2Fmarlintravel.com%2F,Tourisme,Paris ON
Travelonly,"325 West St,Brantford,ON,N3R 3V6","Travel Agencies,Health, Travel & Life Insurance",416-904-4210,/gourl/ac5726623386b923cb59f3965dce8b11ccd0122e?redirect=http%3A%2F%2Fwww.beukestravel.com%2F,Tourisme,Paris ON
TravelOnly,"202-325A West,Brantford,ON,N3R 3V6",Travel Agencies,519-400-8404,/gourl/b71c948dfe304bc78be412aa1b84f1674aa9369c?redirect=https%3A%2F%2Fwww.facebook.com%2Ftravelonly,Tourisme,Paris ON
Travel Only Inc,"Suite 202a 325 West,Brantford,ON,N3R 3V6",Travel Agencies,519-752-4363,/gourl/b71c948dfe304bc78be412aa1b84f1674aa9369c?redirect=https%3A%2F%2Fwww.facebook.com%2Ftravelonly,Tourisme,Paris ON
Tourism Brantford,"399 Wayne Gretzky Pky,Brantford,ON,N3R 8B4",Tourist Information Centres,"519-751-9900,1-800-265-6299",/gourl/52d2a4e0cca0b8c87f9e3669af919d6e33d6c394?redirect=http%3A%2F%2Fwww.discoverbrantford.com%2F,Tourisme,Paris ON
North American Midway Entertainment-Canada CO,"17 Corporate Pl,Brantford,ON,N3R 8A6","Tourist Information Centres,Carnivals",519-756-2111,/gourl/c2213c75b72649fe43275020223c262a1bc6e681?redirect=https%3A%2F%2Fwww.facebook.com%2Fpages%2FNorth-American-Midway-Entertainment-Canada-Co%2F175031123239690,Tourisme,Paris ON
Lougheed Farm & Estates,"110 Powerline Rd,Brantford,ON,N3T 5L8","Sightseeing Guides & Tours,Horse-Drawn Carriages",226-450-2594,,Tourisme,Paris ON
Donaldson Travel,"87 Main St,Cambridge,ON,N1R 1W1",Travel Agencies,519-623-7570,/gourl/88946f8d35cd9d161e8afb9df9ae986cd2c1b378?redirect=http%3A%2F%2Fwww.uniglobedonaldson.com%2F,Tourisme,Paris ON
SellOffVacations.com,"31-200 Franklin Blvd,Cambridge,ON,N1R 8N8",Travel Agencies,"519-624-0777,1-866-420-6152",/gourl/63e2781766bb7d132e2145c1c747ae92956bcc3a?redirect=http%3A%2F%2Fwww.sunholidays.ca%2F,Tourisme,Paris ON
SellOff Vacations Inc,"200 Franklin Blvd,Cambridge,ON,N1R 8N8",Travel Agencies,519-622-3036,,Tourisme,Paris ON
Trillium Travel Services Inc,"146 Dundas St,Cambridge,ON,N1R 5P1",Travel Agencies,519-622-7077,/gourl/2008c374d017f17422af3d6183defb9f92af3223?redirect=http%3A%2F%2Fwww.cwttrillium.com%2F,Tourisme,Paris ON
African Lion Safari,"RR 1 Stn Galt,Cambridge,ON,N1R 5S2",Tourist Attractions,519-623-2620,/gourl/2e500da288760010c1d345e316a41250acab907a?redirect=http%3A%2F%2Fwww.lionsafari.com%2F,Tourisme,Paris ON
Full Circle Travel Service,"7-175 Beverly St,Cambridge,ON,N1R 7Y9","Travel Agencies,Airline Ticket Agencies",519-740-9898,,Tourisme,Paris ON
Uniglobe Shannon Travel Limited,"10 Second St N,Stoney Creek,ON,L8G 1Y6",Travel Agencies,519-445-2424,,Tourisme,Paris ON
Marlin Travel,,Travel Agencies,905-979-0066,/gourl/d7b1c1c531d67c2ece03c7cab80eb5307f7bf6eb?redirect=http%3A%2F%2Fmarlintravel.com%2F,Tourisme,Paris ON
The Travel Agent Next Door,,Travel Agencies,519-717-6832,/gourl/59047c25a0630ac9d58bcaf4771b9a98a2a23e9a?redirect=http%3A%2F%2Fwww.thetravelagentnextdoor.ca%2F,Tourisme,Paris ON
Travel Szamn A Travel Information Network Source,,Travel Agencies,519-449-1375,,Tourisme,Paris ON
Six Nations Of The Grand River Development Corp,,Sightseeing Guides & Tours,519-758-0768,/gourl/ba286b07646aaf1daf05acfb5baa1d1e0198515d?redirect=http%3A%2F%2Fsixnations.ca%2F,Tourisme,Paris ON
Vision 2000 Travel Group,,Travel Agencies,519-756-2090,/gourl/bb75a9a60d26ef30a78d6606a41e3550809e00d6?redirect=http%3A%2F%2Fwww.travelcounsellors.ca%2F,Tourisme,Paris ON
YTB Travel Canada,,Travel Agencies,226-400-1417,,Tourisme,Paris ON
Dave White Appliance Service,"21 Columbine Cres,Paris,ON,N3L 3L1","Major Appliance Stores,Washer & Dryer Sales & Service",519-442-3790,/gourl/b3fbc6c72e945cf97d599b32f83b930386e9bd0b?redirect=http%3A%2F%2Fwww.davewhiteappliance.ca%2F,Electroménager,Paris ON
Canadian Tire,"300 Grand River Street North,Paris,ON,N3L 3R7","Department Stores,New Auto Parts & Supplies",519-442-2312,/gourl/9983f932f499675461a86290ffe229d50403397b?redirect=https%3A%2F%2Fwww.canadiantire.ca%2Fen%2Fstore-details%2Fon%2Fparis-on.store.html%2F%3Futm_source%3Dyext%26utm_medium%3Dlss,Electroménager,Paris ON
Baker Len Appliance Service,"49 Ball St,Paris,ON,N3L 1X3",Major Appliance Stores,519-442-4414,,Electroménager,Paris ON
Pro Appliance Service,"78 Maitland St,Brantford,ON,N3S 6L3","Major Appliance Stores,Refrigerator & Freezer Sales & Service",519-753-2504,/gourl/0277693513284f9da1e974986af1f5a086e00d0e?redirect=http%3A%2F%2Fwww.proapplianceservice.ca%2F,Electroménager,Paris ON
A to Z Refrigeration & Appliance Repair,,"Major Appliance Stores,Appliance Repair & Service",519-753-1775,,Electroménager,Paris ON
B K Appliances,"260 Murray St,Brantford,ON,N3S 5S5","Major Appliance Stores,Appliance Repair & Service",519-752-7202,,Electroménager,Paris ON
Wardell's Factory,"6 King St W,Hagersville,ON,N0A 1H0","Major Appliance Stores,Fireplaces","905-768-1030,1-888-290-0877",/gourl/4d58728525bbe24f8594c0803bff089818702f62?redirect=https%3A%2F%2Fwardells.ca%2F,Electroménager,Paris ON
Brian's Appliance Service,"37 Curtis Ave S,Paris,ON,N3L 3J4",Major Appliance Stores,519-442-4371,,Electroménager,Paris ON
Koffee Korner,"325 King George Rd,Brantford,ON,N3R 5L9","Major Appliance Stores,Coffee Stores",519-752-7555,/gourl/5198f0062360ee89cf64efccf0b17f5dfc93f13a?redirect=http%3A%2F%2Fkoffeekorner.ca%2F,Electroménager,Paris ON
Giant Tiger,"82 King George Rd,Brantford,ON,N3R 5K4","Department Stores,Discount Stores",519-753-8577,/gourl/fdc65cf608c0321b2e229909a1a4af35128b2950?redirect=https%3A%2F%2Fgianttiger.com%2F,Electroménager,Paris ON
John Murray Appliance Service,"56 Albion St,Brantford,ON,N3T 3M3",Major Appliance Stores,519-753-1116,,Electroménager,Paris ON
Maplegrove Appliances,"3-190 West St,Brantford,ON,N3R 3T9",Major Appliance Stores,519-758-5321,/gourl/9360bbc8c11c4cdccce9688fe60896ad15d4cb21?redirect=https%3A%2F%2Fwww.maplegroveappliances.com%2F,Electroménager,Paris ON
Canadian Tire,"30 Lynden Road,Brantford,ON,N3R 8A4","Department Stores,Car Washes",519-751-2878,/gourl/4d53bd2a02c98403fd060c36fa2c2d9aeacee857?redirect=https%3A%2F%2Fwww.canadiantire.ca%2Fen%2Fstore-details%2Fon%2Fbrantford-north-on.store.html%2F%3Futm_source%3Dyext%26utm_medium%3Dlss,Electroménager,Paris ON
Pro Appliance Service,"78 Maitland St,Brantford,ON,N3S 6L3",Major Appliance Stores,519-753-2504,/gourl/0277693513284f9da1e974986af1f5a086e00d0e?redirect=http%3A%2F%2Fwww.proapplianceservice.ca%2F,Electroménager,Paris ON
TA Appliance,"195 Henry St,Brantford,ON,N3S 5C9",Major Appliance Stores,519-750-1118,/gourl/e7b14df6351233aff4c9c73f42005de4558eaf85?redirect=http%3A%2F%2Fwww.taappliance.com%2F,Electroménager,Paris ON
TA Appliances Brantford,"195 Henry St,Brantford,ON,N3S 5C9",Major Appliance Stores,519-750-1118,,Electroménager,Paris ON
Bed Bath & Beyond,"221 Henry St,Brantford,ON,N3S 7R4","Department Stores,Housewares",519-752-2750,/gourl/ba7a9d47693fbd2891da3cdd904b93bc166944dc?redirect=https%3A%2F%2Fstores.bedbathandbeyond.ca%2FBrantford-ON-N3S%25207R4-2039,Electroménager,Paris ON
Henry's Appliance Service,"1-189 Erie Ave,Brantford,ON,N3S 2G8",Major Appliance Stores,519-753-3333,/gourl/2cd65e0bc712038f4410b7b1186af016d3157e81?redirect=http%3A%2F%2Fjandberieaveappliances.ca%2F,Electroménager,Paris ON
Giant Tiger,"120 Main St,Cambridge,ON,N1R 1V7","Department Stores,Discount Stores",519-622-5560,/gourl/fdc65cf608c0321b2e229909a1a4af35128b2950?redirect=https%3A%2F%2Fgianttiger.com%2F,Electroménager,Paris ON
City Appliances,"1 Wellington St,Cambridge,ON,N1R 3Y4","Major Appliance Stores,Housewares",226-895-9059,/gourl/31b1acb69d7a3cc3eaab80ba31bd62d5180ab216?redirect=http%3A%2F%2Fcityappliancesmattressworld.com%2F,Electroménager,Paris ON
Tradeway Appliance Cambridge,"71 Dickson St,Cambridge,ON,N1R 7A5",Major Appliance Stores,519-624-0333,,Electroménager,Paris ON
A To Z Refrigeration & Appliance Repair,"238-250 Dundas St. South,Cambridge,ON,N1R 8A8","Major Appliance Stores,Appliance Repair & Service",519-740-1534,/gourl/d7a4542c41f88cc9074d88d62a3c1ba10c5e869f?redirect=http%3A%2F%2Fa-zappliance.ca%2F,Electroménager,Paris ON
A To Z Refrigeration & Appliance Repair,"238-250 Dundas St. South,Cambridge,ON,N1R 8A8",Major Appliance Stores,519-570-0238,/gourl/d7a4542c41f88cc9074d88d62a3c1ba10c5e869f?redirect=http%3A%2F%2Fa-zappliance.ca%2F,Electroménager,Paris ON
Canadian Tire,"75 Dundas Street Highland,Cambridge,ON,N1R 6G5","Department Stores,New Auto Parts & Supplies",519-621-8180,/gourl/e72699b0e8d2831052fcf7768f422380b98f6603?redirect=https%3A%2F%2Fwww.canadiantire.ca%2Fen%2Fstore-details%2Fon%2Fcambridge-on.store.html%2F%3Futm_source%3Dyext%26utm_medium%3Dlss,Electroménager,Paris ON
Freer's Appliance Service & Refrigeration Inc,"156 Beverly St,Cambridge,ON,N1R 3Z7","Major Appliance Stores,Commercial Refrigeration Sales & Services",519-621-6458,,Electroménager,Paris ON
Jonas Appliances,"230 Water St N,Cambridge,ON,N1R 3C1",Major Appliance Stores,519-621-3171,/gourl/2178036c54f9e825ab17b5358fa9d8f7bb96f1f9?redirect=https%3A%2F%2Fjonasappliances.com%2F,Electroménager,Paris ON
Giant Tiger,"927 King St E,Cambridge,ON,N3H 3P4","Department Stores,Discount Stores",519-650-2685,/gourl/fdc65cf608c0321b2e229909a1a4af35128b2950?redirect=https%3A%2F%2Fgianttiger.com%2F,Electroménager,Paris ON
A Z Appliance Repair & Service,"256 Falling Green Cres,Kitchener,ON,N2R 0E9","Major Appliance Stores,Appliance Repair & Service",519-841-5579,/gourl/7869b53cf6ed1be1fb90a875215587a2fbb6b324?redirect=http%3A%2F%2Fwww.facebook.com%2F1084923251686201,Electroménager,Paris ON
Tepperman's Mattress Store,"1415 Huron Rd,Kitchener,ON,N2R 0L3","Major Appliance Stores,Television Sales & Services",519-279-7810,/gourl/e4e427b32d9fe85a83e38b818bcf7766a38b6427?redirect=https%3A%2F%2Fwww.teppermans.com%2F,Electroménager,Paris ON
Scotch Appliances,"366 Hespeler Rd,Cambridge,ON,N1R 6J6",Major Appliance Stores,226-500-0449,,Electroménager,Paris ON
Hudson's Bay,"1-355 Hespeler Rd,Cambridge,ON,N1R 8J9",Department Stores,519-622-4919,/gourl/6a6e2f0471a73ea581ff4972928bc3676bb7832e?redirect=https%3A%2F%2Flocations.thebay.com%2F,Electroménager,Paris ON
Assembly Appliances,"930 Robert Ferrie Dr,Kitchener,ON,N2R 0P9",Major Appliance Stores,519-893-8792,/gourl/26bd67d3dfd3da8f90a9eb50e1ddbdb81fe1e59f?redirect=http%3A%2F%2Fassemblyservices.ca%2F,Electroménager,Paris ON
All Tech Refrigeration & Appliance Repair,"318 Saginaw Pky,Cambridge,ON,N1T 1R8",Major Appliance Stores,519-896-8925,/gourl/8011dc5d5888950cb3be970d5354124bb53820e1?redirect=http%3A%2F%2Fwww.alltechone.ca%2F,Electroménager,Paris ON
Goemans Appliances,"4585 King St E,Kitchener,ON,N2P 2G5",Major Appliance Stores,519-650-4255,/gourl/9b50e377fe1ec9fcf3bbca2d3b2e96dd1e3fdb6d?redirect=http%3A%2F%2Fwww.goemans.com%2Fgmen%2Fustorelocator%2Flocation%2Fstoredetail%2Fgoemans-appliances-burlington-clearance-centre%2F,Electroménager,Paris ON
Costco Wholesale,"4438 King St E,Kitchener,ON,N2P 2G4","Department Stores,General Stores",519-650-3330,/gourl/7038315e7c3390ab4b81eba15224ec6814227deb?redirect=https%3A%2F%2Fcostco.ca%2F,Electroménager,Paris ON
Suzanne's Of Paris,"80 Grand River St N,Paris,ON,N3L 2M2",Women's Clothing Stores,519-442-7552,/gourl/fe1518f0b9744d1665d7453042bf350f351231ce?redirect=http%3A%2F%2Fwww.suzannesofparis.com%2F,Prêt à porter,Paris ON
Bri's Bambino Boutique,"25 William St,Paris,ON,N3L 1K9",Women's Clothing Stores,519-442-3737,,Prêt à porter,Paris ON
Patricia's Fashion Choice Ladies Wear,"126 Lynden Rd,Brantford,ON,N3R 8A3","Women's Clothing Stores,Boutiques",519-753-5226,/gourl/71ae4ae4c071a0a39a11f8929e29bb4c3f9fb159?redirect=https%3A%2F%2Fwww.facebook.com%2FPatricias-Ladies-Wear-343661128995990%2F,Prêt à porter,Paris ON
Girls Den,"177 Paris Rd,Brantford,ON,N3R 1J2",Women's Clothing Stores,519-754-3647,/gourl/cedbed6ad5681d538d7afea4aadf4348d62c1cba?redirect=http%3A%2F%2Fwww.girlsden.net%2F,Prêt à porter,Paris ON
Girls Den,"177 Paris Rd,Brantford,ON,N3R 1J2",Women's Clothing Stores,226-227-1699,/gourl/cedbed6ad5681d538d7afea4aadf4348d62c1cba?redirect=http%3A%2F%2Fwww.girlsden.net%2F,Prêt à porter,Paris ON
Nina-Brie Face & Fashion,"358 King George Rd,Brantford,ON,N3T 5L8",Women's Clothing Stores,519-754-0178,/gourl/01daac28845be5a535a690afd039713b39f74311?redirect=http%3A%2F%2Fnina-brie.com%2F,Prêt à porter,Paris ON
Reitmans,"300 King George Rd,Brantford,ON,N3R 5L8",Women's Clothing Stores,519-758-5112,/gourl/42f1730691c5c57cb61c3f119006a3a6b38f5966?redirect=http%3A%2F%2Fwww.reitmans.com%2F,Prêt à porter,Paris ON
The Link,"123 King George Rd,Brantford,ON,N3R 5K7","Clothing Stores,Men's Clothing Stores",519-309-0016,/gourl/174bb2ebebab8a267f7041bd85bcc08aae13ccc2?redirect=http%3A%2F%2Fwww.thelinkclothing.ca%2F,Prêt à porter,Paris ON
Campus Crew,"84 King George Rd,Brantford,ON,N3R 5K4","Women's Clothing Stores,Sporting Goods Stores",519-751-2224,/gourl/2af5a341a09d94558d6da4a2ba8bdff43aba8123?redirect=http%3A%2F%2Fwww.campuscrew.com%2F,Prêt à porter,Paris ON
Netty Vintage,"254 Brant Ave,Brantford,ON,N3T 3J5",Women's Clothing Stores,226-387-2822,/gourl/dbfd18e9ca4a8d09e62413e922d82be7d2a72212?redirect=http%3A%2F%2Fnettyvintage.com%2F,Prêt à porter,Paris ON
Fashion Boutique,"84 Charing Cross St,Brantford,ON,N3R 2H6",Women's Clothing Stores,519-770-0540,/gourl/fe9e665ea0b18e12103c4e0bcffa7868248f18cc?redirect=http%3A%2F%2Fwww.karensfashionboutique.com%2F,Prêt à porter,Paris ON
African Heritage Products,"33 Dowden Ave, Nightingale Dr,Brantford,ON,N3T 0A3",Women's Clothing Stores,226-934-3957,,Prêt à porter,Paris ON
Closet Couture,"415 Fairview Dr,Brantford,ON,N3R 7M3","Women's Clothing Stores,Dressmakers",519-758-0808,/gourl/6955f585dbf0b21f6ba16699171ec6fd8c7ad239?redirect=http%3A%2F%2Fwww.closet-couture.ca%2F,Prêt à porter,Paris ON
