author,tags,text
Dr. Seuss,"learning,reading,seuss","“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”"
J.K. Rowling,dumbledore,"“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”"
Bob Marley,friendship,"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”"
Mother Teresa,"misattributed-to-mother-teresa,paraphrased",“Not all of us can do great things. But we can do small things with great love.”
J.K. Rowling,"death,inspirational","“To the well-organized mind, death is but the next great adventure.”"
Charles M. Schulz,"chocolate,food,humor",“All you need is love. But a little chocolate now and then doesn't hurt.”
William Nicholson,"misattributed-to-c-s-lewis,reading",“We read to know we're not alone.”
Albert Einstein,"knowledge,learning,understanding,wisdom",“Any fool can know. The point is to understand.”
Jorge Luis Borges,"books,library",“I have always imagined that Paradise will be a kind of library.”
George Eliot,inspirational,“It is never too late to be what you might have been.”
George R.R. Martin,"read,readers,reading,reading-books","“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”"
C.S. Lewis,"books,inspirational,reading,tea",“You can never get a cup of tea large enough or a book long enough to suit me.”
Marilyn Monroe,,“You believe lies so you eventually learn to trust no one but yourself.”
Marilyn Monroe,"girls,love","“If you can make a woman laugh, you can make her do anything.”"
Albert Einstein,"life,simile","“Life is like riding a bicycle. To keep your balance, you must keep moving.”"
Marilyn Monroe,love,“The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”
Marilyn Monroe,attributed-no-source,"“A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.”"
Martin Luther King Jr.,"hope,inspirational",“Only in the darkness can you see the stars.”
J.K. Rowling,dumbledore,"“It matters not what someone is born, but what they grow to be.”"
James Baldwin,love,"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”"
